video name,name,duration,link,thumbnail,created_time,modified_time,release_time
LAPD Class 5-2019 Graduation Ceremony,,4210,https://vimeo.com/371151876,https://i.vimeocdn.com/video/828608366-5a01652afd1db8968b32c6bf6e3d1c4889e6b22eeb4ae23ad328d081b833f637-d_1920x1080?r=pad,2019-11-05T14:57:54+00:00,2023-04-12T13:48:20+00:00,2019-11-05T14:57:54+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 11-17,,4220,https://vimeo.com/271346612,https://i.vimeocdn.com/video/702652239-bc22e7a1504d8e01cdb8c2e062254b75315793ac059f48d056fe7ad349f436bf-d_1920x1080?r=pad,2018-05-22T19:51:18+00:00,2023-04-18T07:42:22+00:00,2018-05-22T19:51:18+00:00
LAPD Recruit Officer Graduation Ceremony for Class 5-22,,4282,https://vimeo.com/767147638,https://i.vimeocdn.com/video/1540247348-4e380846d636617e0f81729922c3dac308af51419c3a17ad22986528f3f84421-d_1920x1080?r=pad,2022-11-04T03:09:38+00:00,2023-05-06T01:11:05+00:00,2022-11-04T03:09:38+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 7-15,,4285,https://vimeo.com/153651863,https://i.vimeocdn.com/video/554357157-e25f9ef3cb8ae4091713a2e54aca4ef9706f74b11c1e4dd92a75b10d57063e0d-d_1920x1080?r=pad,2016-01-31T06:16:59+00:00,2023-04-19T01:22:18+00:00,2016-01-31T06:16:59+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 6-17,,4317,https://vimeo.com/245929152,https://i.vimeocdn.com/video/670858844-d1d740ae82316344420f0253cd56b1d3b328bc181ef2c5fab3355a5fc29014d0-d_1920x1080?r=pad,2017-12-05T14:53:38+00:00,2022-08-06T05:44:24+00:00,2017-12-05T14:53:38+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 2-18,,4394,https://vimeo.com/285122902,https://i.vimeocdn.com/video/719751862-5d7a01dfb682ddd3350cedb82ebca82f18fae984e40270e6274a8403a55b1901-d_1920x1080?r=pad,2018-08-15T15:35:18+00:00,2023-01-10T07:39:54+00:00,2018-08-15T15:35:18+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 4-14,,4396,https://vimeo.com/145706236,https://i.vimeocdn.com/video/544165290-5c2841eb224a596d781672fc1e71f4ef02d49f8e4fde5f65f4414e5834c62293-d_1920x1080?r=pad,2015-11-14T05:22:14+00:00,2023-02-20T22:51:44+00:00,2015-11-14T05:22:14+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 9-18,,4409,https://vimeo.com/318678377,https://i.vimeocdn.com/video/761230193-f648e231ebfce5051e94cb3dc0fc8aa20cf88f42dad3cef821ed877540ce2746-d_1920x1080?r=pad,2019-02-21T04:26:25+00:00,2023-02-27T05:08:38+00:00,2019-02-21T04:26:25+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 6-15,,4442,https://vimeo.com/149676314,https://i.vimeocdn.com/video/549136430-996fad8ade20cd4e3c2dbdaa88be30fcb1468fd7fa3beb91ed91f87978327617-d_1920x1080?r=pad,2015-12-21T19:06:38+00:00,2023-02-20T22:46:24+00:00,2015-12-21T19:06:38+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 10A-18,,4483,https://vimeo.com/326172934,https://i.vimeocdn.com/video/770336337-75a88030bdb74444b7c71fd46fa5215b499b77b5aaf2b5eb3be15f2131314920-d_1920x1080?r=pad,2019-03-24T15:42:27+00:00,2023-02-16T18:01:31+00:00,2019-03-24T15:42:27+00:00
